"conanp_nombre","wdpa_nombre","geometry_source","jaccard","jaccard_threshold","area_conanp_km2","area_wdpa_km2"
"Alto Golfo de California y Delta del Río Colorado",NA,"CONANP_direct",NA,0.95,13528.47,NA
"Arrecife Alacranes",NA,"CONANP_direct",NA,0.95,3302.39,NA
"Arrecife de Puerto Morelos",NA,"CONANP_direct",NA,0.95,89.76,NA
"Arrecifes de Cozumel",NA,"CONANP_direct",NA,0.95,478.24,NA
"Arrecifes de Xcalak",NA,"CONANP_direct",NA,0.95,150.29,NA
"Bahía de Loreto",NA,"CONANP_direct",NA,0.95,1842.88,NA
"Bajos del Norte",NA,"CONANP_direct",NA,0.95,12892.58,NA
"Balandra",NA,"CONANP_direct",NA,0.95,13.3,NA
"Banco Chinchorro",NA,"CONANP_direct",NA,0.95,1439.63,NA
"Cabo Pulmo",NA,"CONANP_direct",NA,0.95,70.37,NA
"Cabo San Lucas",NA,"CONANP_direct",NA,0.95,39.55,NA
"Caribe Mexicano",NA,"CONANP_direct",NA,0.95,57160.59,NA
"Complejo Sian Ka'an",NA,"CONANP_direct",NA,0.95,2245.55,NA
"Costa Occ. de I. Mujeres, Pta. Cancún y Pta. Nizuc",NA,"CONANP_direct",NA,0.95,86.88,NA
"El Vizcaíno",NA,"CONANP_direct",NA,0.95,16274.24,NA
"Huatulco",NA,"CONANP_direct",NA,0.95,55.7,NA
"Isla Contoy",NA,"CONANP_direct",NA,0.95,48.97,NA
"Isla Guadalupe",NA,"CONANP_direct",NA,0.95,4520.88,NA
"Isla San Pedro Mártir",NA,"CONANP_direct",NA,0.95,297.75,NA
"Islas Marietas",NA,"CONANP_direct",NA,0.95,13.36,NA
"Islas Marías",NA,"CONANP_direct",NA,0.95,6066.06,NA
"Islas del Pacifico de la Peninsula de Baja California",NA,"CONANP_direct",NA,0.95,12188.35,NA
"Laguna de Terminos",NA,"CONANP_direct",NA,0.95,3523.99,NA
"Los Petenes",NA,"CONANP_direct",NA,0.95,1803.61,NA
"Pacífico Mexicano Profundo",NA,"CONANP_direct",NA,0.95,438072.96,NA
"Revillagigedo",NA,"CONANP_direct",NA,0.95,147269.09,NA
"Sistema Arrecifal Lobos-Tuxpan",NA,"CONANP_direct",NA,0.95,302.71,NA
"Sistema Arrecifal Veracruzano",NA,"CONANP_direct",NA,0.95,650.84,NA
"Tiburón Ballena",NA,"CONANP_direct",NA,0.95,1446.78,NA
"Ventilas Hidrotermales de la Cuenca de Guaymas y de la Dorsal del Pacífico Oriental",NA,"CONANP_direct",NA,0.95,1443.84,NA
"Yum Balam",NA,"CONANP_direct",NA,0.95,961.9,NA
"Zona Marina de Isla Isabel",NA,"CONANP_direct",NA,0.95,313.97,NA
"Zona marina Bahía de los Ángeles, canales de Ballenas y de Salsipuedes",NA,"CONANP_direct",NA,0.95,3889.84,NA
"Zona marina del Archipiélago de Espíritu Santo",NA,"CONANP_direct",NA,0.95,484.03,NA
"Zona marina del Archipiélago de San Lorenzo",NA,"CONANP_direct",NA,0.95,582.75,NA
